Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,P3,Pz,P4,O1
-35.189,14.195,-23.559,11.395,21.581,-4.407,-26.792,-6.563,-29.592,16.492,-25.333,-1.654,-32.849,25.012,-23.879,-33.576
-36.628,15.717,-11.785,-6.305,27.072,-5.677,-22.204,-6.046,-31.663,3.484,-15.240,2.866,-39.073,26.412,-17.189,-27.330
-26.681,11.554,-2.631,-18.514,22.698,-21.045,-9.741,0.234,-30.858,8.663,-7.811,-13.761,-40.519,34.664,-8.759,-19.511
-14.339,13.447,5.502,-26.285,20.110,-24.296,-11.340,-0.106,-29.161,7.876,-3.201,-18.148,-48.269,43.748,-2.037,-14.251
-5.813,9.080,4.858,-36.117,20.806,-30.543,-7.380,-4.563,-27.890,-0.999,4.637,-14.342,-44.684,43.693,13.251,-15.741
0.327,10.456,1.985,-23.327,27.700,-24.801,-2.598,-7.036,-30.124,-3.857,6.703,-20.098,-47.561,41.097,21.751,-5.727
-2.995,8.231,-2.979,-15.626,25.694,-28.845,-2.318,-11.440,-25.384,-11.414,14.252,-24.640,-38.632,42.512,29.691,2.947
-2.010,4.268,-3.358,-16.457,25.386,-27.910,5.609,-20.746,-14.221,-13.200,34.585,-23.763,-32.009,40.475,45.483,7.369
-1.612,-2.452,-4.820,-6.248,21.562,-20.695,-6.679,-19.497,-14.636,-20.764,37.204,-17.919,-17.516,40.496,46.701,5.788
6.302,-1.677,-10.145,-4.784,21.855,-18.602,0.559,-16.627,-9.488,-28.957,37.376,-12.328,-3.185,43.364,41.405,11.054
10.114,-13.343,-7.776,-12.517,25.108,-21.837,3.257,-2.895,-15.059,-20.183,31.952,-19.940,14.780,39.456,43.555,19.536
8.446,-13.524,-6.013,-12.020,24.029,-26.807,1.953,2.227,-14.617,-9.516,31.488,-11.192,25.087,29.705,33.858,23.126
1.911,-12.949,-1.477,0.381,14.039,-19.260,8.967,12.914,-8.855,-2.835,20.344,0.338,29.806,18.920,31.641,28.908
4.190,-17.762,8.163,2.155,9.179,-12.259,19.388,20.537,-3.998,2.113,10.973,5.392,31.230,7.251,20.623,36.975
5.191,-3.063,10.803,0.127,6.903,-5.847,32.899,30.094,-7.841,17.877,8.527,0.634,32.776,-2.266,3.723,30.532
-4.156,-9.095,6.039,-4.674,-3.729,-11.388,29.708,25.055,-12.951,22.372,5.129,12.479,37.567,-10.386,-10.490,21.515
-9.964,-0.680,-3.062,-5.111,2.999,-12.576,22.929,24.669,-5.634,28.505,4.737,18.973,31.786,-17.261,-20.312,12.119
-14.391,4.592,-2.846,-2.894,-4.293,-19.421,21.203,19.795,-9.817,36.291,-3.617,9.267,32.778,-26.617,-31.007,0.665
-12.490,11.137,-10.568,-3.933,-0.157,-14.342,21.087,16.598,-2.534,31.325,6.813,7.575,19.880,-33.190,-36.869,-15.713
-7.804,16.893,-18.807,11.204,-4.916,-4.573,11.597,16.958,4.044,27.816,8.442,18.083,10.044,-42.733,-38.788,-30.451
-8.554,27.006,-24.222,17.787,-8.532,1.877,-1.136,18.603,2.968,23.064,2.535,25.132,6.440,-37.516,-33.472,-32.396
-10.094,32.614,-25.539,21.085,-10.452,6.895,-12.240,15.709,11.822,19.854,0.818,29.302,0.619,-33.142,-27.265,-46.231
-17.154,28.224,-39.248,22.811,-0.411,7.128,-11.234,1.214,-0.068,14.576,-6.402,28.792,-9.340,-31.267,-30.981,-54.036
-12.736,23.816,-36.850,20.861,3.716,2.386,-20.032,-4.146,-7.880,8.697,-0.832,14.513,-13.282,-18.910,-21.641,-57.008
-16.443,17.526,-36.588,21.199,14.417,8.940,-29.276,1.141,-9.843,14.159,-5.535,13.476,-12.952,-11.629,-20.422,-54.074
-21.468,24.763,-32.108,9.394,18.037,2.313,-26.965,0.114,-14.479,12.938,-4.951,3.935,-17.314,13.137,-7.871,-46.366
-25.643,9.861,-25.123,8.110,30.255,-3.483,-22.107,-4.485,-21.162,12.222,-4.122,3.881,-26.531,16.154,-6.838,-41.232
-23.140,9.388,-13.987,-4.775,34.565,-7.177,-29.854,-15.660,-33.152,15.346,-6.698,-2.414,-34.498,29.186,6.491,-32.673
-16.213,16.669,-6.974,-8.784,37.235,-8.655,-21.967,-4.379,-29.543,8.558,-8.577,-9.838,-35.974,31.719,9.673,-21.159
-10.543,3.585,-3.371,-9.668,36.364,-12.292,-8.635,-0.135,-41.069,5.642,-6.939,-15.868,-34.604,40.879,13.534,-13.150
-7.629,2.695,13.922,-21.228,31.089,-27.966,-7.390,-3.422,-36.602,4.280,0.528,-22.397,-29.928,36.890,25.161,-7.732
-4.374,1.116,16.216,-28.465,29.043,-34.681,-11.462,5.181,-41.008,-0.196,10.111,-30.255,-30.208,31.865,26.586,8.985
-3.105,0.056,20.274,-27.747,21.608,-44.765,-1.387,3.514,-45.003,-5.101,3.293,-22.170,-15.263,30.190,27.839,1.364
8.108,-3.351,16.655,-28.299,16.810,-44.293,-9.703,6.597,-36.233,1.317,15.898,-19.306,-12.347,33.952,36.375,7.706
9.416,-11.573,25.696,-18.720,12.786,-31.089,-1.496,-2.557,-15.956,-4.372,30.801,-11.655,-4.130,28.260,38.572,8.799
