Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,P3,Pz,P4,O1
27.151,23.817,20.032,21.170,26.775,27.797,21.019,21.277,19.601,19.090,26.564,25.841,28.389,28.411,25.401,25.684
44.455,38.298,33.579,34.674,44.719,46.229,35.255,34.841,32.344,31.736,43.499,42.317,47.200,47.177,41.649,42.737
32.725,28.190,24.307,25.316,32.325,33.419,25.679,25.223,23.538,22.829,31.443,30.778,33.999,33.996,30.062,31.236
42.865,36.561,31.890,32.903,42.003,44.060,33.794,33.069,31.059,30.332,41.162,40.248,44.825,44.934,40.287,40.737
46.824,40.327,34.931,36.148,46.452,48.373,37.183,36.240,33.878,32.920,45.145,44.112,49.124,49.163,44.154,44.824
45.687,39.099,33.818,35.131,44.751,46.431,36.272,35.143,32.721,31.847,43.607,42.951,47.576,47.771,42.194,43.309
39.518,33.564,29.436,30.592,39.085,40.488,31.183,30.675,28.252,27.597,37.967,37.632,41.121,41.516,36.593,37.612
31.075,26.445,22.778,24.090,30.654,31.565,24.573,23.878,22.278,21.337,29.649,29.480,32.360,32.547,28.777,29.338
22.653,19.533,16.434,17.965,22.034,23.160,17.878,17.450,16.650,15.887,21.544,21.638,23.758,23.747,21.171,21.272
16.579,14.528,12.113,13.284,15.836,16.587,12.783,12.855,12.242,11.320,15.745,15.783,17.313,17.295,15.500,15.567
14.017,12.281,9.930,11.177,13.605,13.571,10.703,10.771,10.015,9.726,13.420,13.177,14.364,14.566,12.801,13.089
14.963,12.795,11.033,11.741,14.602,14.834,11.669,11.309,10.492,10.343,14.518,14.108,15.355,15.318,13.425,14.203
18.798,15.890,13.957,14.680,18.294,18.695,14.462,14.193,13.293,12.703,17.791,17.566,19.254,19.491,16.923,17.677
23.369,19.812,17.277,18.387,22.238,23.216,18.349,17.790,16.557,16.479,22.362,21.942,24.580,24.301,21.243,21.758
26.636,22.731,19.451,20.904,25.825,27.199,20.883,20.524,19.104,18.957,25.663,24.973,27.819,27.751,24.617,24.992
26.643,22.749,19.561,20.934,26.062,27.179,21.175,20.387,19.149,18.830,25.445,24.922,27.726,27.406,24.175,24.683
21.878,18.478,16.121,17.097,21.173,22.172,17.039,16.575,15.808,15.255,20.963,20.391,22.682,22.383,19.874,20.122
11.892,10.193,8.910,9.557,11.394,11.811,9.572,9.204,8.483,8.298,11.527,11.134,12.397,12.014,10.560,11.046
-2.046,-1.478,-2.011,-1.550,-3.139,-2.581,-1.747,-1.860,-1.531,-2.180,-2.157,-1.967,-2.663,-2.800,-2.934,-2.458
-18.485,-15.611,-14.152,-14.261,-19.421,-19.758,-14.938,-14.510,-13.540,-14.049,-18.069,-17.469,-19.997,-20.481,-18.120,-18.172
-34.722,-29.431,-26.399,-27.064,-35.998,-36.701,-28.101,-27.138,-25.174,-25.754,-33.743,-32.812,-36.616,-37.357,-33.238,-34.148
-47.988,-40.477,-36.099,-37.325,-49.027,-50.860,-38.469,-37.435,-34.422,-35.431,-46.879,-45.402,-50.681,-51.141,-45.568,-46.789
-56.006,-47.377,-42.550,-43.397,-57.459,-58.766,-45.074,-43.353,-40.433,-41.140,-54.559,-53.303,-58.819,-59.845,-52.846,-54.567
-58.020,-48.502,-43.564,-44.986,-59.236,-60.344,-46.353,-44.716,-41.738,-42.485,-55.823,-54.776,-60.985,-61.382,-53.901,-55.909
-53.414,-44.614,-40.424,-41.293,-54.500,-55.515,-42.659,-41.053,-37.935,-39.352,-51.082,-50.223,-56.063,-56.630,-49.803,-51.395
-43.535,-36.508,-33.075,-33.830,-44.556,-45.964,-34.774,-33.898,-31.125,-32.178,-41.753,-41.128,-45.510,-46.322,-41.176,-41.898
-30.731,-25.867,-23.477,-23.899,-31.864,-32.950,-24.633,-23.828,-21.887,-22.969,-29.734,-28.754,-32.740,-33.173,-28.983,-29.659
-17.584,-14.267,-13.394,-13.828,-18.539,-19.242,-14.407,-13.620,-12.383,-13.625,-17.514,-16.399,-18.987,-18.948,-16.756,-17.479
-6.837,-4.964,-5.194,-5.418,-7.072,-7.792,-5.757,-5.464,-4.846,-5.704,-6.887,-6.109,-7.296,-7.651,-6.458,-6.824
0.232,0.813,-0.158,0.159,0.329,-0.144,-0.006,0.161,0.417,-0.586,0.477,0.870,0.209,0.059,0.634,0.355
3.081,3.349,2.429,2.492,3.101,2.867,2.469,2.553,2.687,1.909,3.305,3.623,3.488,3.117,3.113,3.561
2.575,2.767,1.467,1.853,2.145,2.161,1.955,2.400,2.229,1.543,2.605,3.288,2.919,2.339,2.231,2.476
-0.386,0.320,-0.467,-0.151,-0.032,-0.747,-0.529,0.170,0.631,-0.560,-0.164,1.010,-0.150,-0.439,-0.170,-0.133
-3.064,-1.961,-2.825,-2.320,-2.752,-3.805,-2.895,-2.175,-1.694,-2.447,-3.095,-2.409,-3.129,-3.073,-2.784,-2.907
-3.762,-2.528,-3.004,-3.156,-3.612,-4.240,-3.005,-2.488,-2.243,-3.204,-3.297,-3.046,-3.850,-3.703,-3.200,-3.583
-0.686,-0.171,-0.639,-0.709,-1.013,-1.240,-0.648,-0.114,0.013,-0.882,-0.477,-0.177,-0.287,-0.324,-0.533,-1.146
6.518,6.032,4.856,4.856,6.273,6.555,5.183,5.562,5.003,3.850,6.667,6.978,7.117,7.172,6.309,5.989
17.163,15.625,12.765,13.365,17.401,17.676,14.148,14.358,13.004,12.100,17.275,17.433,18.557,18.726,16.593,16.900
30.135,26.898,22.439,23.349,30.747,31.584,24.746,24.060,22.295,21.615,30.264,29.470,32.310,32.604,28.626,29.204
43.217,37.411,32.204,33.535,43.368,44.865,34.613,33.928,31.497,30.668,42.437,41.410,45.431,45.938,40.806,41.149
53.254,45.661,39.995,41.256,52.879,54.975,42.542,41.309,38.471,37.594,51.664,50.592,55.325,56.311,49.677,50.472
57.794,49.741,43.295,44.800,57.244,59.882,46.022,44.496,41.825,40.772,56.322,55.079,60.521,61.116,53.958,54.962
56.061,48.160,42.177,43.416,55.834,57.572,44.734,43.468,40.538,39.934,54.660,53.501,58.566,59.537,52.215,53.789
75.169,64.418,56.564,58.307,74.794,77.546,60.052,58.001,54.520,53.732,73.285,71.547,78.759,79.807,69.683,71.899
62.013,53.033,46.810,48.012,61.908,63.848,50.035,48.148,45.157,43.975,60.230,59.199,64.763,65.931,57.882,59.537
18.589,16.173,14.069,14.439,18.906,18.984,15.048,14.403,13.694,13.122,18.368,18.649,19.433,20.051,17.869,18.277
2.361,2.225,1.223,1.631,1.822,2.374,2.389,2.061,2.094,1.420,2.725,2.939,1.919,2.483,2.072,2.356
-11.594,-9.635,-9.260,-9.195,-12.224,-12.522,-9.145,-8.835,-8.161,-8.949,-11.193,-10.417,-12.784,-12.768,-11.239,-11.266
-21.728,-18.149,-16.415,-16.918,-22.343,-22.773,-17.299,-16.321,-15.080,-15.869,-20.816,-19.687,-22.985,-23.314,-19.982,-20.865
-26.947,-22.021,-20.288,-20.652,-26.694,-27.790,-21.397,-19.979,-18.792,-19.202,-25.362,-24.385,-28.320,-28.197,-24.673,-25.711
-26.891,-22.106,-20.083,-20.841,-27.508,-27.905,-21.416,-20.544,-18.792,-19.398,-25.128,-24.150,-28.155,-28.529,-24.872,-25.721
-23.321,-19.325,-17.412,-18.205,-24.044,-24.201,-18.647,-17.579,-16.625,-16.814,-21.648,-21.410,-24.544,-25.016,-21.685,-22.361
-18.545,-15.511,-14.186,-14.213,-19.369,-19.504,-14.952,-13.847,-13.150,-13.400,-17.206,-17.217,-19.251,-19.955,-17.550,-17.598
-14.970,-12.120,-11.347,-11.326,-15.615,-15.790,-11.251,-10.921,-10.316,-10.732,-13.689,-13.385,-15.686,-15.903,-13.891,-14.330
-13.929,-11.527,-10.485,-10.337,-14.754,-14.898,-10.282,-10.674,-9.632,-9.841,-12.626,-12.452,-14.433,-14.797,-13.046,-13.210
-16.954,-13.653,-12.325,-12.944,-17.082,-17.314,-12.829,-12.775,-12.050,-11.931,-15.353,-15.594,-17.239,-17.343,-15.313,-15.550
-23.063,-19.094,-17.245,-17.745,-23.105,-23.585,-17.988,-17.484,-16.230,-16.135,-21.364,-21.175,-23.802,-24.007,-21.124,-21.298
-31.368,-25.988,-23.861,-24.024,-31.855,-32.399,-24.587,-23.530,-22.222,-21.900,-29.366,-28.889,-32.806,-32.822,-28.763,-29.312
-39.664,-32.940,-29.809,-30.420,-39.900,-40.590,-31.347,-29.920,-27.790,-28.263,-37.191,-36.775,-41.061,-41.359,-36.355,-37.383
-45.564,-37.978,-34.578,-35.530,-46.208,-46.972,-36.097,-34.978,-32.373,-32.891,-43.208,-42.424,-47.269,-47.725,-42.235,-43.600
-46.776,-39.365,-35.326,-36.662,-47.799,-48.394,-37.397,-35.975,-33.676,-33.975,-45.215,-44.223,-49.084,-49.755,-43.958,-45.011
-42.820,-35.759,-32.594,-33.399,-43.543,-44.418,-34.153,-32.838,-30.657,-30.602,-40.788,-40.347,-44.761,-45.040,-39.767,-40.629
-32.664,-26.998,-24.948,-25.731,-33.224,-34.103,-25.902,-25.174,-23.303,-23.666,-31.023,-30.693,-34.740,-34.535,-30.427,-30.802
-17.254,-14.340,-13.734,-14.260,-18.407,-18.790,-13.759,-13.637,-12.494,-13.283,-16.568,-16.305,-18.822,-18.271,-16.211,-16.490
0.225,0.796,-0.245,-0.249,-0.825,-0.385,0.183,-0.006,0.351,-0.170,0.367,0.383,-0.361,0.562,-0.054,-0.031
17.753,15.743,13.327,13.573,16.845,17.954,14.222,13.518,13.138,12.502,17.720,17.057,18.130,19.353,16.361,16.885
32.080,28.381,24.695,25.104,31.946,33.442,26.198,25.173,23.873,23.262,32.064,31.477,33.660,34.769,30.488,31.548
42.074,36.867,32.103,32.803,42.137,43.981,34.387,32.828,31.449,30.743,41.763,40.739,43.979,45.286,40.125,40.678
46.180,40.164,34.765,36.411,46.464,48.157,37.776,36.064,34.275,33.837,45.659,44.554,48.385,49.923,43.525,44.733
44.724,38.994,33.579,34.873,44.674,47.269,36.357,34.733,32.962,32.502,44.258,43.320,46.798,48.236,41.869,43.207
38.866,33.708,29.336,29.921,38.843,40.484,31.461,30.410,28.392,27.918,37.998,37.356,40.448,41.847,36.485,37.543
30.380,26.826,22.812,23.593,30.294,31.761,24.579,24.055,22.310,21.766,30.154,29.181,31.562,32.936,28.545,29.820
22.100,19.356,16.495,17.263,21.951,23.039,17.831,17.494,16.231,15.881,22.044,21.180,23.329,24.032,20.594,21.503
15.783,14.259,11.919,12.478,15.931,16.786,13.053,12.469,11.847,11.426,16.180,15.452,17.233,17.720,14.915,15.474
12.821,12.065,9.832,10.399,13.230,14.276,10.775,10.644,9.975,9.270,13.377,13.462,14.134,14.645,12.514,13.398
13.860,12.805,10.892,11.235,14.525,15.196,11.698,11.266,10.705,10.254,14.622,14.664,15.153,15.727,13.143,14.488
17.355,15.962,13.590,14.219,18.240,19.274,14.984,14.422,13.456,13.035,17.765,18.094,19.227,19.679,16.726,17.839
22.394,19.885,17.177,18.025,22.766,24.175,18.529,18.056,16.877,16.409,22.250,22.497,24.510,24.851,21.220,21.921
25.581,22.561,19.432,20.334,25.802,27.996,21.287,20.446,19.477,18.816,25.472,25.448,27.639,28.578,24.596,25.233
25.695,22.332,19.716,20.261,25.705,27.960,21.472,20.725,19.386,18.712,25.368,25.748,27.512,28.222,24.615,25.394
20.555,18.181,16.136,16.444,21.402,22.400,17.673,17.031,15.898,15.134,20.889,20.943,22.603,23.009,19.686,20.783
10.912,9.960,8.557,8.581,11.232,11.806,9.598,9.314,8.733,7.981,11.364,11.496,12.293,12.324,10.316,11.289
-3.034,-1.990,-2.345,-2.433,-2.436,-2.725,-1.956,-1.957,-1.591,-2.488,-2.594,-2.090,-3.072,-2.851,-3.139,-2.228
-19.550,-15.896,-14.464,-15.131,-18.808,-19.385,-14.883,-14.792,-13.267,-14.447,-18.542,-17.178,-20.150,-20.163,-18.328,-17.941
