Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,P3,Pz,P4,O1
6.654,-0.276,-51.526,26.669,19.089,-6.440,-23.671,-24.922,16.001,-26.820,-24.602,10.373,30.743,29.363,-8.776,34.486
12.061,-3.469,-39.932,20.193,21.088,-10.824,-23.629,-18.235,11.633,-31.997,-23.611,7.694,25.488,40.172,-8.744,37.596
11.251,-1.895,-54.134,28.560,21.639,-12.850,-16.976,-16.122,15.206,-28.500,-25.474,0.550,30.080,35.478,-11.292,33.651
10.976,-12.244,-47.247,32.211,24.972,-11.260,-21.320,-14.453,5.632,-30.412,-19.659,5.451,25.553,36.572,-14.765,35.547
11.000,-10.063,-34.208,33.683,17.518,-8.875,-18.447,-9.880,3.360,-30.253,-20.274,8.233,21.320,36.379,-9.847,33.561
20.462,-13.110,-30.151,46.386,9.636,-8.044,-11.138,-1.822,-0.372,-32.745,-20.069,11.559,28.350,43.012,-13.574,26.011
23.730,-15.863,-24.852,42.288,4.753,-11.976,-3.182,-11.919,-1.442,-34.922,-10.206,21.554,27.796,50.139,-16.850,23.861
20.130,-14.745,-26.465,44.700,-2.653,-2.557,-2.733,-11.964,-3.124,-36.975,-6.853,21.474,31.654,47.608,-23.851,24.880
15.303,-12.627,-25.540,41.784,-4.573,-2.237,7.203,-6.805,-10.510,-34.441,-4.994,24.310,29.690,42.899,-18.185,23.804
17.685,-11.719,-22.143,34.220,-3.425,-2.868,10.759,-9.419,-6.835,-31.965,-7.852,25.939,38.865,43.152,-16.710,11.695
14.593,-12.596,-20.744,23.615,-7.015,-1.511,13.600,-4.481,-10.180,-32.742,-5.976,25.773,34.890,49.222,-25.135,19.218
14.057,-14.599,-17.481,32.518,-9.963,4.924,13.410,-10.961,-9.575,-33.695,-0.248,28.304,37.738,41.249,-31.431,11.200
12.107,-20.153,-20.100,18.044,-8.581,8.790,16.768,-8.782,-9.372,-30.025,1.087,29.950,41.922,45.760,-33.374,13.981
18.696,-17.051,-11.192,24.605,-10.265,13.109,13.312,0.645,-8.948,-34.809,8.055,31.271,42.515,54.688,-31.651,20.387
18.820,-13.761,-10.266,18.931,-15.550,14.750,19.970,3.382,-16.481,-35.467,11.582,32.196,42.933,47.254,-28.869,10.845
19.459,-20.629,-17.532,26.323,-19.659,22.644,18.675,6.985,-7.682,-37.070,6.016,31.260,45.603,51.649,-33.965,12.094
12.923,-22.244,-17.100,18.716,-13.214,24.208,29.109,12.887,-1.510,-41.222,8.334,31.356,49.945,50.419,-33.430,8.351
18.248,-22.482,-7.147,20.108,-10.355,31.055,28.538,0.665,1.035,-37.446,4.010,29.682,46.470,43.175,-30.432,4.942
25.727,-25.365,-9.756,20.716,-22.184,31.642,31.547,-1.355,-1.139,-37.505,8.503,26.126,44.924,49.309,-32.135,4.721
20.054,-23.142,-1.356,23.680,-26.028,26.262,32.543,3.751,-3.952,-29.311,9.839,24.861,48.202,57.431,-42.765,7.459
24.127,-27.735,-7.712,22.765,-29.459,23.752,35.469,2.525,-7.027,-34.516,5.938,21.506,55.095,55.285,-39.174,4.082
26.616,-34.371,-3.650,12.198,-36.985,32.798,33.983,2.790,-1.899,-32.969,11.737,24.160,47.859,51.845,-39.048,-6.940
23.005,-30.491,-5.100,8.472,-36.610,39.114,37.483,7.154,-16.469,-30.468,11.875,19.341,45.341,49.149,-42.657,-5.590
33.940,-21.096,-3.907,9.375,-38.998,30.625,37.379,15.105,-21.029,-32.438,20.922,22.232,53.090,46.828,-37.942,-5.802
33.842,-19.976,-4.152,8.597,-42.113,33.515,44.320,20.902,-15.239,-28.110,17.596,19.505,52.022,43.221,-39.072,-2.711
36.648,-18.089,-0.598,-1.660,-34.922,45.312,44.454,18.507,-7.981,-31.102,22.494,19.975,46.701,40.611,-38.958,-2.961
35.855,-19.292,-0.204,5.068,-39.776,50.592,40.113,24.365,-5.354,-34.177,18.834,21.717,47.189,34.561,-43.002,-3.885
43.783,-31.690,-3.780,2.509,-33.631,41.918,38.870,20.700,-2.143,-30.142,17.239,16.692,39.316,34.845,-43.053,-0.008
46.596,-33.796,-3.935,2.080,-31.995,47.596,46.447,31.620,-7.344,-28.690,14.210,25.820,37.594,39.574,-45.679,-2.613
43.928,-27.231,-1.475,-1.234,-47.662,53.325,44.009,32.924,-6.912,-21.407,14.710,28.919,39.866,40.190,-37.024,-3.605
