Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,P3,Pz,P4,O1
-4.375,15.272,35.412,7.486,-17.748,-12.787,-2.128,39.866,34.278,-11.060,20.184,-23.713,5.547,-0.748,10.467,6.423
-12.163,20.501,50.419,6.811,-16.447,-11.313,-3.526,56.267,48.381,-6.877,18.123,-20.111,11.731,-5.561,17.515,4.776
-14.488,8.689,61.412,9.500,-14.271,-8.029,10.172,69.877,59.715,3.172,18.839,-20.134,8.108,7.166,20.200,8.402
-19.723,12.406,32.246,15.468,-14.803,-0.147,19.793,36.614,31.127,8.926,12.088,-23.150,10.865,10.474,9.229,14.055
-24.077,16.288,31.797,13.642,-13.725,-3.834,18.674,35.240,30.066,8.059,11.671,-21.234,21.416,12.559,2.123,14.097
-30.384,20.929,25.644,10.131,-5.546,-1.151,21.041,27.056,23.595,7.366,14.636,-27.320,17.676,17.135,3.064,18.827
-30.922,9.334,13.942,7.660,-9.143,3.795,21.079,15.866,13.200,15.442,3.660,-15.051,30.737,14.287,4.335,14.608
-26.626,4.164,1.712,0.965,-4.190,1.992,23.982,2.753,1.250,9.658,8.197,-14.183,32.877,20.392,-2.113,18.113
-30.329,1.611,-8.446,-1.116,-3.887,0.262,19.221,-9.126,-7.892,5.090,13.401,-22.707,29.901,18.076,-6.485,16.212
-39.055,-6.354,-13.883,-7.913,0.498,0.025,16.290,-16.155,-13.558,5.108,3.324,-23.260,35.649,11.617,-11.288,12.082
-25.936,-8.945,-13.902,-7.821,-4.585,-3.767,19.465,-15.921,-13.301,3.368,-1.485,-16.653,37.447,9.606,-9.883,6.819
-20.988,-14.700,-7.314,-4.182,5.402,5.178,23.535,-9.816,-7.292,0.127,-3.949,-4.944,41.964,3.823,-11.683,9.944
-31.743,-14.216,3.580,-11.922,8.186,-0.300,18.489,2.997,3.380,-10.116,-4.392,-7.436,28.510,6.288,-8.450,11.222
-27.190,-15.417,15.359,-18.109,3.258,6.563,21.533,18.211,16.232,-12.321,-5.572,5.566,20.078,5.697,-9.612,15.752
-9.598,-10.692,28.088,-16.882,12.790,6.193,17.715,31.456,28.153,-4.298,-6.723,10.644,15.566,-1.001,-6.946,15.219
-8.396,-7.964,37.224,-15.099,6.884,-2.799,17.054,40.778,36.705,-8.725,-6.637,7.885,9.015,-3.031,-12.046,4.041
6.643,-5.213,39.739,-27.159,8.796,-5.668,18.011,44.270,39.067,-7.917,-8.096,11.557,8.423,-9.262,-7.730,8.718
9.045,-3.654,35.242,-28.052,-0.682,-12.948,10.961,39.586,34.684,-19.536,-9.402,13.130,11.864,-11.763,-1.602,-4.608
3.335,-13.988,25.769,-36.050,2.371,-13.359,10.539,29.160,25.531,-21.624,-11.969,10.493,12.894,-13.761,0.077,-9.795
6.931,-8.258,12.390,-37.470,-0.485,-10.744,-5.585,14.833,12.135,-22.034,-8.630,14.369,3.847,-8.125,6.666,-9.698
3.472,2.718,-2.259,-32.590,1.357,-17.385,-2.339,-2.416,-1.437,-18.591,-5.104,12.174,-2.379,-17.467,14.980,-13.591
13.365,6.998,-14.376,-33.194,-1.460,-24.732,-10.956,-16.142,-12.555,-21.462,1.339,4.730,-3.723,-19.218,9.813,-13.250
11.543,5.538,-20.625,-34.423,-7.554,-26.892,-17.607,-24.087,-19.967,-28.373,4.007,6.597,-6.747,-10.469,10.422,-15.557
6.894,10.045,-21.300,-26.969,-18.308,-24.823,-10.002,-24.552,-21.392,-33.986,2.701,4.787,-6.556,-14.487,12.073,-15.579
7.138,19.912,-16.660,-20.577,-14.827,-20.886,-15.301,-19.109,-16.236,-27.268,11.047,0.451,-4.891,-3.960,20.011,-19.955
6.309,26.340,-6.327,-14.276,-18.651,-18.769,-15.887,-8.907,-6.481,-24.805,21.071,-6.940,-8.372,-3.648,19.860,-19.669
-6.945,20.114,5.202,-13.440,-18.772,-15.494,-12.106,4.415,5.256,-16.272,21.161,-3.704,-1.201,2.128,21.154,-21.630
-4.852,13.731,15.188,-6.053,-23.302,-20.889,-1.490,15.411,14.306,-26.676,16.817,-9.561,-5.500,6.716,29.337,-10.795
