Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,P3,Pz,P4,O1
30.351,24.899,32.358,27.448,23.786,31.951,29.232,26.121,25.204,23.519,27.645,25.687,32.809,29.999,29.093,29.494
58.704,48.082,61.780,53.596,45.499,61.551,56.391,50.355,47.631,45.077,52.959,50.849,62.192,57.122,56.095,56.051
74.006,60.858,78.092,67.618,57.591,77.895,71.203,63.499,60.019,56.073,67.003,64.546,78.506,72.135,70.973,70.844
70.528,58.026,73.786,64.943,55.221,74.374,67.413,60.546,57.359,53.526,63.939,61.185,74.518,68.865,67.576,67.273
21.025,17.662,22.398,18.907,16.717,22.097,19.978,17.741,17.103,15.703,18.884,18.250,22.746,20.653,20.612,20.909
-2.697,-2.002,-3.338,-3.224,-2.589,-3.786,-3.193,-3.311,-1.975,-2.367,-2.970,-3.266,-3.073,-2.587,-3.025,-1.649
-20.632,-16.132,-21.319,-19.375,-16.181,-22.074,-19.977,-18.534,-16.735,-15.709,-18.893,-18.428,-21.708,-19.604,-19.442,-18.384
-23.969,-19.264,-25.646,-22.481,-18.815,-25.669,-23.348,-21.317,-19.803,-17.912,-21.966,-21.498,-25.475,-22.583,-22.775,-21.666
-14.175,-11.202,-15.261,-13.617,-10.887,-14.967,-13.749,-12.667,-11.332,-10.775,-12.909,-12.867,-15.100,-12.811,-13.300,-12.523
1.883,2.124,2.815,2.070,1.797,2.907,1.833,1.663,1.666,1.710,2.390,1.960,2.833,2.969,2.343,2.895
16.972,14.205,18.086,15.393,13.422,18.293,16.255,14.790,13.791,12.647,16.173,15.159,18.677,16.937,16.342,16.711
24.164,20.513,25.497,22.300,19.041,26.003,23.562,21.060,19.907,18.420,22.584,21.273,26.097,24.309,23.576,23.476
24.551,20.836,26.158,22.435,19.608,26.539,24.207,21.542,20.414,19.132,23.192,22.016,26.880,24.701,23.970,24.441
22.220,18.749,23.110,20.178,17.480,23.580,21.282,19.467,18.489,16.858,20.723,19.266,24.190,22.181,21.536,22.079
20.561,17.396,21.479,18.331,16.379,21.424,19.752,18.203,16.872,15.286,19.267,17.807,22.614,20.346,19.848,20.133
20.951,17.826,21.661,18.931,16.348,21.492,20.073,18.107,17.036,15.814,19.145,17.718,22.803,20.744,20.169,20.435
21.144,17.264,21.641,18.738,16.288,21.009,19.773,18.352,16.887,15.274,18.839,17.488,22.210,20.409,19.925,20.517
16.837,13.653,16.575,14.524,12.679,16.454,15.328,13.990,13.354,11.976,14.869,13.485,17.833,16.351,15.497,16.039
7.149,5.645,5.937,5.563,4.879,6.348,5.826,5.855,5.543,4.599,5.758,5.025,7.425,6.626,5.960,6.388
-4.504,-3.752,-6.072,-5.091,-3.943,-5.674,-5.178,-4.141,-3.586,-3.816,-4.574,-4.948,-4.904,-4.836,-4.647,-4.017
-10.538,-8.846,-12.797,-11.067,-8.995,-12.270,-11.080,-9.625,-9.073,-8.725,-10.197,-10.534,-11.560,-10.374,-10.436,-10.070
-6.187,-4.474,-7.273,-6.557,-5.127,-6.949,-6.406,-5.807,-4.613,-5.013,-5.999,-6.437,-6.592,-5.557,-6.118,-5.162
10.735,8.898,10.442,8.829,8.143,11.001,9.643,8.858,8.372,7.100,9.396,8.371,10.804,10.472,9.652,10.653
33.514,27.240,34.624,29.292,25.382,34.354,31.485,28.574,27.319,24.811,30.123,28.193,34.901,32.654,31.274,32.496
51.082,42.149,52.919,45.643,38.987,52.991,48.452,44.083,41.731,38.009,46.494,43.950,53.609,49.352,47.945,48.782
53.740,44.064,55.843,48.313,41.515,56.050,50.946,46.463,43.720,40.333,48.995,46.155,57.086,51.784,50.834,51.687
38.689,31.469,40.034,34.707,30.002,40.172,36.516,33.455,31.213,28.354,34.733,32.806,40.800,37.145,36.465,37.413
11.297,9.142,11.315,9.744,8.380,11.509,10.521,9.510,9.292,7.769,9.827,9.210,12.247,10.867,10.297,11.646
-15.627,-12.797,-17.080,-14.620,-12.587,-17.522,-15.247,-13.398,-12.548,-12.266,-15.163,-14.124,-16.453,-15.114,-15.149,-14.263
-29.348,-24.385,-31.846,-27.252,-23.098,-32.175,-28.617,-25.849,-23.905,-23.017,-27.389,-26.476,-30.965,-28.735,-28.827,-27.165
-23.964,-19.990,-26.389,-22.786,-18.963,-26.564,-23.640,-21.351,-19.650,-18.864,-22.577,-21.912,-25.711,-23.718,-23.808,-22.263
-2.996,-2.536,-4.014,-3.160,-2.548,-3.591,-3.013,-2.586,-2.352,-2.981,-3.075,-2.793,-3.719,-3.479,-3.556,-2.384
23.362,19.133,23.862,20.618,18.053,24.052,21.996,19.750,19.051,17.401,20.888,19.697,24.025,22.030,21.080,22.750
42.120,34.246,44.105,37.924,32.530,44.060,39.999,35.726,34.299,31.663,37.951,36.244,43.655,40.345,38.910,39.818
45.036,36.926,46.823,40.654,34.994,47.309,42.836,38.761,36.659,33.465,40.907,38.871,47.087,43.261,41.834,42.961
32.688,27.045,33.549,28.854,25.755,33.782,31.036,28.489,26.637,23.979,29.579,28.109,34.051,31.508,30.296,31.395
11.942,9.777,12.765,10.628,9.801,11.915,11.689,10.568,10.512,9.354,11.256,10.309,13.352,11.920,11.116,12.713
-6.037,-4.617,-6.150,-6.217,-4.358,-6.841,-5.835,-4.838,-4.236,-4.678,-5.569,-5.457,-5.660,-5.467,-6.149,-4.937
-15.379,-11.837,-15.719,-14.608,-11.697,-16.106,-14.954,-12.955,-11.867,-11.661,-14.091,-13.258,-15.421,-14.404,-14.527,-13.823
-14.669,-11.326,-14.920,-14.135,-10.936,-15.697,-14.320,-12.483,-11.575,-10.933,-13.596,-12.711,-14.784,-14.650,-14.052,-12.925
-8.932,-6.484,-8.215,-8.561,-6.798,-9.338,-8.214,-6.940,-6.776,-6.940,-8.310,-7.393,-8.427,-8.595,-8.258,-7.129
-3.058,-1.606,-2.226,-3.105,-2.270,-3.310,-2.646,-2.567,-1.695,-2.198,-3.214,-2.706,-2.092,-2.732,-2.941,-1.881
-0.228,0.089,0.276,-0.721,-0.137,-0.689,-0.650,-0.251,0.191,-0.377,-0.498,-0.721,0.084,-0.529,-0.562,0.240
0.220,0.442,0.649,-0.543,0.044,-0.271,0.009,-0.081,0.008,-0.479,-0.214,-0.295,0.178,-0.133,-0.229,0.428
1.904,1.789,2.761,0.753,1.095,1.162,1.427,1.082,1.350,0.490,1.306,0.821,1.791,1.193,1.010,2.431
6.353,5.475,7.214,5.612,4.827,6.076,6.242,5.354,4.912,4.490,6.068,5.131,6.651,5.579,5.595,6.759
13.321,11.076,13.635,11.811,9.888,13.108,12.424,11.107,10.654,9.367,11.561,11.028,13.663,11.762,12.424,12.590
16.749,14.006,16.843,14.570,12.453,16.199,15.499,13.643,12.807,11.581,14.376,13.641,17.106,14.957,14.847,15.537
10.330,9.168,10.828,8.975,8.119,10.282,10.094,8.354,7.805,7.749,9.370,8.183,10.628,9.781,9.320,9.965
-5.580,-3.400,-5.577,-5.267,-4.514,-6.449,-4.975,-4.948,-5.296,-4.147,-4.783,-5.369,-5.349,-5.612,-5.272,-4.486
-25.624,-20.386,-27.048,-24.122,-20.350,-28.059,-25.086,-22.921,-21.477,-19.793,-23.845,-22.867,-27.616,-25.552,-25.358,-24.010
-41.745,-33.836,-43.618,-39.039,-33.167,-45.044,-40.625,-36.586,-34.220,-31.807,-38.624,-36.988,-43.993,-40.771,-40.595,-38.985
-44.652,-35.843,-46.187,-41.342,-34.815,-47.811,-43.223,-39.101,-36.312,-33.265,-40.732,-39.082,-46.698,-43.393,-42.995,-41.178
-30.723,-24.425,-31.862,-28.494,-24.071,-33.195,-29.583,-26.544,-24.876,-23.034,-28.768,-27.002,-32.243,-30.255,-29.081,-27.973
-5.846,-3.757,-5.480,-5.444,-4.723,-6.560,-5.117,-5.113,-4.397,-4.014,-5.879,-5.096,-5.324,-5.807,-5.030,-3.995
18.943,16.050,20.172,16.956,14.463,19.376,18.291,15.927,15.367,13.976,16.649,16.531,20.331,18.032,18.082,19.199
30.214,25.336,32.181,27.238,23.223,31.372,29.344,26.303,24.924,22.645,27.366,26.580,32.632,29.515,29.050,29.989
22.333,18.584,23.691,20.610,17.206,23.440,21.547,19.010,18.189,17.549,20.232,19.948,24.370,21.717,22.012,22.221
-1.415,-0.472,-1.458,-1.179,-1.183,-1.768,-1.404,-1.248,-0.821,-0.331,-1.425,-1.369,-1.130,-1.039,-0.778,-0.216
-30.133,-24.276,-31.336,-27.472,-23.278,-31.765,-29.052,-25.847,-23.902,-22.392,-27.477,-26.088,-31.537,-28.811,-28.494,-27.126
-50.169,-40.545,-52.806,-46.321,-39.198,-53.201,-48.371,-43.633,-40.720,-37.766,-46.385,-43.612,-52.755,-48.532,-47.842,-46.478
-53.361,-43.756,-56.516,-49.126,-41.549,-56.602,-51.202,-46.123,-42.991,-40.470,-49.484,-45.974,-55.976,-51.850,-51.569,-49.749
-40.254,-32.559,-41.884,-36.713,-30.809,-42.895,-38.383,-34.491,-32.282,-29.700,-37.081,-34.528,-41.630,-38.494,-38.325,-36.544
-18.009,-14.616,-18.605,-16.321,-13.484,-18.851,-17.029,-15.455,-14.161,-12.948,-16.779,-15.215,-17.823,-16.624,-17.158,-15.833
1.716,1.302,2.723,2.102,1.662,1.659,2.066,1.295,1.869,1.954,1.624,1.831,2.866,2.231,1.668,3.167
11.444,9.062,12.307,10.374,9.221,11.025,11.291,9.565,9.080,8.901,9.749,9.661,11.803,11.159,10.382,11.229
8.436,6.747,8.872,7.842,6.618,8.037,8.178,7.135,6.945,6.661,7.061,7.379,9.042,7.958,6.873,8.397
-2.363,-1.797,-1.982,-2.376,-1.977,-3.091,-2.016,-2.264,-1.485,-1.664,-2.785,-1.602,-1.715,-2.700,-2.852,-1.630
-13.619,-10.764,-13.483,-12.119,-10.464,-14.916,-12.484,-11.309,-10.192,-10.338,-12.548,-11.477,-13.213,-13.364,-13.045,-12.031
-19.824,-15.820,-20.461,-18.332,-15.137,-21.461,-18.711,-17.037,-15.570,-15.025,-18.184,-17.077,-19.950,-19.526,-19.005,-18.058
-21.125,-17.295,-21.745,-19.315,-16.106,-23.125,-20.007,-18.571,-16.852,-16.054,-19.584,-18.362,-21.435,-20.902,-20.263,-19.090
-20.756,-16.604,-21.298,-18.563,-15.700,-22.115,-20.060,-18.562,-16.948,-15.636,-19.121,-17.953,-21.430,-20.263,-19.784,-18.824
-21.558,-17.623,-22.308,-19.521,-16.859,-23.114,-20.997,-18.889,-17.513,-16.291,-19.600,-19.027,-22.537,-21.416,-20.784,-20.232
-24.780,-19.738,-25.074,-21.999,-19.212,-26.198,-23.401,-21.337,-19.455,-18.373,-22.217,-21.632,-25.173,-24.057,-23.372,-22.586
-25.808,-20.786,-25.935,-22.926,-19.373,-27.851,-24.755,-22.236,-20.377,-19.057,-23.117,-22.877,-26.066,-24.980,-24.294,-23.358
-20.615,-16.505,-21.144,-18.966,-15.652,-22.552,-19.604,-17.629,-16.760,-15.487,-18.413,-18.095,-20.915,-20.343,-19.941,-18.609
-8.241,-6.521,-7.985,-7.218,-5.850,-9.185,-7.176,-6.565,-6.035,-6.004,-6.878,-7.178,-7.863,-7.808,-7.637,-6.992
9.117,7.079,10.004,7.805,7.142,8.562,8.687,8.194,7.112,6.771,8.544,7.693,9.910,8.326,8.044,9.191
21.838,17.711,23.636,19.649,17.486,22.793,21.475,18.953,18.001,16.288,20.331,19.465,23.677,21.013,20.558,21.234
23.141,19.177,25.035,21.138,18.737,24.044,23.112,20.295,19.375,17.411,21.299,20.565,25.175,22.222,22.297,23.209
10.119,8.607,11.084,9.034,8.234,10.402,10.214,9.126,8.413,7.411,9.763,9.095,11.217,9.283,10.087,10.617
-13.024,-10.429,-13.035,-11.792,-9.737,-13.929,-12.563,-11.077,-10.418,-10.379,-11.304,-10.918,-13.351,-12.959,-12.368,-11.542
-35.397,-28.010,-35.987,-32.070,-27.140,-37.533,-33.612,-30.130,-28.415,-26.498,-31.832,-30.436,-36.868,-34.614,-33.680,-32.606
-44.938,-36.315,-46.325,-40.783,-34.597,-48.032,-43.023,-38.298,-35.805,-33.955,-40.532,-38.326,-46.799,-43.402,-42.735,-40.972
-35.109,-28.241,-36.690,-31.991,-26.724,-37.741,-34.172,-29.918,-27.986,-26.555,-32.182,-30.691,-36.696,-34.417,-33.849,-32.097
-10.261,-8.381,-9.960,-9.151,-7.341,-11.587,-9.851,-8.337,-8.066,-7.814,-9.356,-8.781,-10.266,-9.815,-10.282,-8.392
49.817,41.024,53.313,45.574,39.392,51.700,48.178,43.336,40.674,37.270,45.499,43.615,52.731,47.711,47.189,47.999
70.482,58.122,75.263,64.451,55.535,74.145,68.134,61.760,57.176,53.344,64.135,61.835,74.876,67.761,66.892,67.999
73.338,60.347,78.325,67.465,57.852,77.182,70.715,64.122,59.428,55.426,67.384,64.281,78.120,71.304,69.555,70.634
