Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,P3,Pz,P4,O1
46.551,-12.314,19.915,-24.672,-1.271,31.259,-7.831,19.452,-15.800,-25.648,-12.220,-22.689,25.047,11.895,11.776,-36.937
40.646,-5.544,24.601,-12.646,2.041,30.705,-6.526,17.055,-13.710,-17.737,-11.344,-26.154,24.345,18.873,7.972,-16.914
48.573,-8.166,27.215,-18.972,3.578,22.892,-0.576,13.859,-7.416,-11.425,-14.709,-18.894,22.213,25.566,5.601,-11.330
55.965,-13.752,31.011,-20.094,-2.863,26.148,0.122,22.081,-4.633,-5.705,-7.448,-16.474,21.332,32.864,10.824,-12.649
59.666,-13.405,32.412,-21.417,-6.098,31.992,0.715,15.145,3.036,-4.231,-7.000,-13.149,21.073,30.936,2.860,-4.064
59.659,-2.644,29.370,-14.947,-8.822,31.996,1.814,14.422,1.152,-9.080,-6.450,-10.256,18.690,40.293,12.625,-4.376
55.802,-4.595,30.671,-20.185,-9.852,32.588,-0.858,3.637,-3.876,2.269,-10.957,-15.634,15.244,36.660,3.664,-10.339
43.058,-9.000,31.128,-26.545,-8.923,27.390,-2.222,4.277,-3.276,-4.405,-9.580,-21.451,9.785,32.146,-4.024,-8.661
30.821,-15.972,26.606,-22.730,-15.900,33.072,0.483,-3.163,0.131,-4.167,-12.553,-21.088,1.520,37.303,-9.700,-13.974
31.468,-22.830,17.465,-26.167,-25.566,20.885,-10.226,-10.622,-1.288,-1.257,-22.770,-19.226,-1.288,26.007,-16.713,-16.804
14.456,-31.150,11.615,-23.762,-24.012,5.249,-18.071,-20.163,0.346,-9.898,-28.384,-18.129,-10.787,15.947,-28.891,-7.557
11.989,-29.873,3.921,-28.300,-23.421,12.753,-23.708,-30.109,-0.474,-16.884,-31.958,-22.707,-23.768,10.884,-33.945,2.250
1.505,-31.421,-0.731,-25.874,-28.539,-0.099,-30.512,-28.413,-5.321,-21.848,-33.237,-17.868,-20.366,-1.822,-38.724,4.197
-7.595,-24.459,2.574,-31.969,-33.816,-10.471,-30.274,-37.269,-2.755,-17.053,-32.789,-20.851,-22.111,-14.115,-33.107,2.499
-16.513,-18.098,-5.618,-30.834,-29.325,-12.927,-42.724,-49.007,-3.042,-18.675,-36.036,-23.300,-26.049,-11.743,-49.238,8.215
-17.523,-25.413,-2.850,-25.640,-27.904,-21.021,-39.794,-53.031,5.420,-18.670,-29.344,-22.279,-30.685,-19.707,-46.838,5.584
-17.298,-19.347,-4.932,-12.226,-26.775,-21.483,-39.257,-57.083,10.014,-8.318,-28.256,-16.767,-33.378,-31.051,-44.970,10.976
-26.242,-16.485,-5.014,-7.977,-7.687,-23.949,-27.971,-49.152,12.261,-7.350,-26.163,-9.141,-32.962,-32.155,-33.872,17.444
-28.265,0.469,-6.957,5.076,-2.774,-26.943,-21.492,-46.138,18.388,6.314,-24.109,-3.946,-26.081,-30.133,-35.447,19.381
-22.881,1.844,-8.765,17.377,-5.679,-16.741,-19.425,-50.456,21.461,8.390,-9.642,5.115,-23.924,-16.035,-30.507,21.409
-21.095,5.587,-5.809,23.779,2.459,-12.347,-12.060,-35.320,26.239,20.534,-8.831,8.853,-16.762,-17.347,-19.503,43.509
-6.468,14.537,-11.457,45.768,19.299,-4.229,-9.029,-30.227,30.990,26.071,-2.986,9.829,-13.809,-6.395,-15.983,47.528
-2.330,14.710,-9.161,48.934,27.878,-0.661,-6.431,-15.127,36.066,31.361,12.456,21.789,-7.143,-15.933,4.881,53.689
